DateTimeID,DateTime,Year,Month,Day,Hour,DayOfWeek,MonthName,DayName
96,2023-01-04 23:00:00,2023,1,4,23,4,January,Wednesday
97,2023-01-05 00:00:00,2023,1,5,0,5,January,Thursday
98,2023-01-05 01:00:00,2023,1,5,1,5,January,Thursday
99,2023-01-05 02:00:00,2023,1,5,2,5,January,Thursday
100,2023-01-05 03:00:00,2023,1,5,3,5,January,Thursday
101,2023-01-05 04:00:00,2023,1,5,4,5,January,Thursday
102,2023-01-05 05:00:00,2023,1,5,5,5,January,Thursday
103,2023-01-05 06:00:00,2023,1,5,6,5,January,Thursday
104,2023-01-05 07:00:00,2023,1,5,7,5,January,Thursday
105,2023-01-05 08:00:00,2023,1,5,8,5,January,Thursday
106,2023-01-05 09:00:00,2023,1,5,9,5,January,Thursday
107,2023-01-05 10:00:00,2023,1,5,10,5,January,Thursday
108,2023-01-05 11:00:00,2023,1,5,11,5,January,Thursday
109,2023-01-05 12:00:00,2023,1,5,12,5,January,Thursday
110,2023-01-05 13:00:00,2023,1,5,13,5,January,Thursday
111,2023-01-05 14:00:00,2023,1,5,14,5,January,Thursday
112,2023-01-05 15:00:00,2023,1,5,15,5,January,Thursday
113,2023-01-05 16:00:00,2023,1,5,16,5,January,Thursday
114,2023-01-05 17:00:00,2023,1,5,17,5,January,Thursday
115,2023-01-05 18:00:00,2023,1,5,18,5,January,Thursday
116,2023-01-05 19:00:00,2023,1,5,19,5,January,Thursday
117,2023-01-05 20:00:00,2023,1,5,20,5,January,Thursday
118,2023-01-05 21:00:00,2023,1,5,21,5,January,Thursday
119,2023-01-05 22:00:00,2023,1,5,22,5,January,Thursday
120,2023-01-05 23:00:00,2023,1,5,23,5,January,Thursday
121,2023-01-06 00:00:00,2023,1,6,0,6,January,Friday
122,2023-01-06 01:00:00,2023,1,6,1,6,January,Friday
123,2023-01-06 02:00:00,2023,1,6,2,6,January,Friday
124,2023-01-06 03:00:00,2023,1,6,3,6,January,Friday
125,2023-01-06 04:00:00,2023,1,6,4,6,January,Friday
126,2023-01-06 05:00:00,2023,1,6,5,6,January,Friday
127,2023-01-06 06:00:00,2023,1,6,6,6,January,Friday
128,2023-01-06 07:00:00,2023,1,6,7,6,January,Friday
129,2023-01-06 08:00:00,2023,1,6,8,6,January,Friday
130,2023-01-06 09:00:00,2023,1,6,9,6,January,Friday
131,2023-01-06 10:00:00,2023,1,6,10,6,January,Friday
132,2023-01-06 11:00:00,2023,1,6,11,6,January,Friday
133,2023-01-06 12:00:00,2023,1,6,12,6,January,Friday
134,2023-01-06 13:00:00,2023,1,6,13,6,January,Friday
135,2023-01-06 14:00:00,2023,1,6,14,6,January,Friday
136,2023-01-06 15:00:00,2023,1,6,15,6,January,Friday
137,2023-01-06 16:00:00,2023,1,6,16,6,January,Friday
138,2023-01-06 17:00:00,2023,1,6,17,6,January,Friday
139,2023-01-06 18:00:00,2023,1,6,18,6,January,Friday
140,2023-01-06 19:00:00,2023,1,6,19,6,January,Friday
141,2023-01-06 20:00:00,2023,1,6,20,6,January,Friday
142,2023-01-06 21:00:00,2023,1,6,21,6,January,Friday
143,2023-01-06 22:00:00,2023,1,6,22,6,January,Friday
144,2023-01-06 23:00:00,2023,1,6,23,6,January,Friday
145,2023-01-07 00:00:00,2023,1,7,0,7,January,Saturday
146,2023-01-07 01:00:00,2023,1,7,1,7,January,Saturday
147,2023-01-07 02:00:00,2023,1,7,2,7,January,Saturday
148,2023-01-07 03:00:00,2023,1,7,3,7,January,Saturday
149,2023-01-07 04:00:00,2023,1,7,4,7,January,Saturday
150,2023-01-07 05:00:00,2023,1,7,5,7,January,Saturday
151,2023-01-07 06:00:00,2023,1,7,6,7,January,Saturday
152,2023-01-07 07:00:00,2023,1,7,7,7,January,Saturday
153,2023-01-07 08:00:00,2023,1,7,8,7,January,Saturday
154,2023-01-07 09:00:00,2023,1,7,9,7,January,Saturday
155,2023-01-07 10:00:00,2023,1,7,10,7,January,Saturday
156,2023-01-07 11:00:00,2023,1,7,11,7,January,Saturday
157,2023-01-07 12:00:00,2023,1,7,12,7,January,Saturday
158,2023-01-07 13:00:00,2023,1,7,13,7,January,Saturday
159,2023-01-07 14:00:00,2023,1,7,14,7,January,Saturday
160,2023-01-07 15:00:00,2023,1,7,15,7,January,Saturday
161,2023-01-07 16:00:00,2023,1,7,16,7,January,Saturday
162,2023-01-07 17:00:00,2023,1,7,17,7,January,Saturday
163,2023-01-07 18:00:00,2023,1,7,18,7,January,Saturday
164,2023-01-07 19:00:00,2023,1,7,19,7,January,Saturday
165,2023-01-07 20:00:00,2023,1,7,20,7,January,Saturday
166,2023-01-07 21:00:00,2023,1,7,21,7,January,Saturday
167,2023-01-07 22:00:00,2023,1,7,22,7,January,Saturday
168,2023-01-07 23:00:00,2023,1,7,23,7,January,Saturday
169,2023-01-08 00:00:00,2023,1,8,0,1,January,Sunday
170,2023-01-08 01:00:00,2023,1,8,1,1,January,Sunday
171,2023-01-08 02:00:00,2023,1,8,2,1,January,Sunday
172,2023-01-08 03:00:00,2023,1,8,3,1,January,Sunday
173,2023-01-08 04:00:00,2023,1,8,4,1,January,Sunday
174,2023-01-08 05:00:00,2023,1,8,5,1,January,Sunday
175,2023-01-08 06:00:00,2023,1,8,6,1,January,Sunday
176,2023-01-08 07:00:00,2023,1,8,7,1,January,Sunday
177,2023-01-08 08:00:00,2023,1,8,8,1,January,Sunday
178,2023-01-08 09:00:00,2023,1,8,9,1,January,Sunday
179,2023-01-08 10:00:00,2023,1,8,10,1,January,Sunday
180,2023-01-08 11:00:00,2023,1,8,11,1,January,Sunday
181,2023-01-08 12:00:00,2023,1,8,12,1,January,Sunday
182,2023-01-08 13:00:00,2023,1,8,13,1,January,Sunday
183,2023-01-08 14:00:00,2023,1,8,14,1,January,Sunday
